dimension,comparison,point_estimate,bootstrap_mean,ci_low,ci_high,n_replicates
depth_of_field,CA-U - CF,-0.1480692927827193,-0.1490917966069666,-0.1930510636393438,-0.10112424031580214,1000
depth_of_field,CA-R - CF,-0.3060033720337438,-0.3064453113435798,-0.36087550107849975,-0.25342215947806085,1000
depth_of_field,CA-U - CA-R,0.15793407925102448,0.15735351473661316,0.11312519987802133,0.19965165481638564,1000
framing,CA-U - CF,0.11614295847738465,0.12230463011028073,0.08349424461778884,0.1654265606857705,1000
framing,CA-R - CF,0.032437074581101344,0.036016847723529796,-0.011686963282145038,0.08522242189869797,1000
framing,CA-U - CA-R,0.0837058838962833,0.08628778238675093,0.052286996245427944,0.12564714723557208,1000
perspective,CA-U - CF,0.01750055935469974,0.013763370091222579,-0.23123332772575397,0.2633343679338346,1000
perspective,CA-R - CF,0.0003855573857562966,0.029012015136987777,-0.01929848697034048,0.24644530992859429,1000
perspective,CA-U - CA-R,0.017115001968943444,-0.015248645045765195,-0.23419117486127816,0.033857060696829276,1000
