Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
biologist,basket,3,2,3,5,15.98,25.8,16.14,56.54,.00,.00,.00,.00
comedian,walking,4,5,2,2,6.66,9.4,4.28,3.06,.04,.01,.12,.22
biologist,walking,5,3,2,2,14.47,4.1,4.28,3.06,.00,.13,.12,.22
attendant,hose,2,5,3,3,28.38,255.26,83.81,64.3,.00,.00,.00,.00
hairdresser,style,2,3,2,6,904.01,731.13,558.89,1413.32,.00,.00,.00,.00
comedian,up,4,3,5,2,110.95,108.3,147.83,39.5,.00,.00,.00,.00
train_driver,look,2,6,2,3,23.05,211.41,20.12,280.85,.00,.00,.00,.00
poet,female,2,5,2,4,31.52,18.41,17.02,16.95,.00,.00,.00,.00
bartender,pant,4,2,3,5,24.07,24.82,10.8,23.3,.00,.00,.00,.00
optician,waiting,2,4,5,3,2.99,28.91,44.42,15.82,.22,.00,.00,.00
railway_conductor,reading,4,2,5,2,4.63,4.6,9.94,4.37,.10,.10,.01,.11
supervisor,slim,6,2,2,3,2.51,10.09,6.1,12.25,.29,.01,.05,.00
blacksmith,lamp,5,1,5,2,22.75,3.15,1.76,5.9,.00,.53,.41,.21
driver,shift,5,2,1,6,2618.04,237.39,71.03,2723.13,.00,.00,.00,.00
athlete,apron,2,5,5,1,11.56,32.52,34.74,17.58,.07,.00,.00,.01
baker,shelve,4,3,5,1,4.42,5.64,8.62,6.41,.11,.06,.01,.04
bartender,balanced,5,2,1,5,9.56,7.84,4.33,4.87,.01,.02,.11,.09
farmer,carrying,5,3,1,5,21.05,22.98,2.84,87.54,.00,.00,.24,.00
journalist,minimal,3,5,4,1,8.18,23.85,18.76,1.51,.02,.00,.00,.47
screenwriter,industrial,5,4,1,3,17.47,8.58,1.44,11.25,.00,.01,.49,.00
sculptor,tan,1,6,2,4,3.64,40.6,1.8,8.15,.16,.00,.41,.02
scientist,looking,2,1,5,5,2.37,3.71,2.26,71.08,.31,.16,.32,.00
