Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
lawyer,adult,100,100,100,100,0.49,0.55,0.39,0.07,.78,.76,.82,.97
customer_service_representative,adult,100,100,100,100,0.08,0.08,0.03,0.01,1.00,1.00,1.00,1.00
customer_service_representative,shallow,100,100,100,100,4.54,2.55,0.11,0.38,1.00,1.00,1.00,1.00
politician,adult,99,100,100,100,0.42,0.55,0.39,0.07,.81,.76,.82,.97
comedian,adult,100,100,99,100,0.49,0.55,0.3,0.07,.78,.76,.86,.97
ceo,adult,99,100,100,100,0.39,0.55,0.39,0.07,.82,.76,.82,.97
nurse,adult,100,100,99,100,0.53,0.6,0.27,0.07,.77,.74,.87,.96
paramedic,adult,100,100,99,100,0.53,0.6,0.27,0.07,.77,.74,.87,.96
flight_attendant,adult,100,99,99,100,0.49,0.47,0.33,0.07,.78,.79,.85,.97
engineer,adult,100,99,99,100,0.49,0.44,0.3,0.07,.78,.80,.86,.97
dancer,female,100,100,98,100,259.26,375.83,509.99,543.33,.00,.00,.00,.00
social_worker,adult,98,100,100,100,0.34,0.51,0.36,0.05,.84,.77,.83,.98
flight_attendant,female,100,99,99,99,259.26,368.75,519.94,533.2,.00,.00,.00,.00
comedian,male,99,100,99,99,16.76,13.05,7.2,4.19,.00,.00,.03,.12
dancer,adult,100,98,100,100,0.49,0.27,0.39,0.07,.78,.87,.82,.97
salesperson,adult,98,100,99,100,0.28,0.51,0.27,0.06,.87,.77,.87,.97
seamstress,adult,100,98,100,100,0.45,0.24,0.36,0.06,.80,.88,.83,.97
railway_conductor,male,98,98,100,100,15.94,11.65,7.74,4.54,.00,.00,.02,.10
politician,male,98,98,100,100,15.94,11.61,7.74,4.54,.00,.00,.02,.10
engineer,male,98,99,99,100,15.94,12.33,7.21,4.54,.00,.00,.03,.10
ceo,average,98,99,100,100,4.05,5.22,2.96,4.9,.13,.07,.23,.09
entrepreneur,adult,98,99,100,100,0.3,0.44,0.39,0.07,.86,.80,.82,.97
carpenter,male,100,100,97,100,17.62,13.05,5.86,4.54,.00,.00,.05,.10
manager,adult,99,98,100,100,0.35,0.34,0.36,0.06,.84,.84,.83,.97
pharmacist,adult,98,98,100,100,0.28,0.33,0.36,0.06,.87,.85,.83,.97
nurse,female,99,99,99,99,274.18,398.1,552.07,576.35,.00,.00,.00,.00
actor,adult,100,97,99,100,0.53,0.34,0.33,0.07,.77,.84,.85,.96
marketing_specialist,adult,100,99,98,99,0.34,0.35,0.15,0.03,.84,.84,.93,.98
ceo,male,98,99,98,100,15.96,12.38,6.89,4.54,.00,.00,.03,.10
engineer,average,99,98,100,98,4.85,4.78,2.96,4.12,.09,.09,.23,.13
scientist,adult,99,98,98,100,0.38,0.35,0.24,0.07,.83,.84,.89,.97
poet,adult,99,98,99,100,0.39,0.38,0.3,0.07,.82,.83,.86,.97
software_engineer,adult,99,99,100,99,0.31,0.4,0.42,0.05,.86,.82,.81,.98
physician,adult,98,100,98,100,0.3,0.55,0.18,0.07,.86,.76,.92,.97
teacher,adult,97,99,100,99,0.28,0.44,0.39,0.07,.87,.80,.82,.96
carpenter,adult,98,100,97,100,0.31,0.55,0.22,0.07,.86,.76,.89,.97
detective,adult,99,99,97,100,0.38,0.47,0.1,0.07,.83,.79,.95,.97
sheriff,adult,97,99,99,100,0.2,0.44,0.3,0.07,.91,.80,.86,.97
plumber,male,96,100,100,99,13.91,13.05,7.74,4.19,.00,.00,.02,.12
plumber,adult,96,100,100,99,0.39,0.55,0.39,0.07,.82,.76,.82,.96
doctor,adult,100,99,96,100,0.49,0.44,0.07,0.07,.78,.80,.97,.97
nurse,realistic,99,99,99,98,18.04,9.67,21.08,15.72,.00,.01,.00,.00
waitress,female,97,100,99,99,218.1,346.15,477.53,490.14,.00,.00,.00,.00
waitress,adult,97,100,99,99,0.29,0.51,0.27,0.04,.87,.77,.87,.98
singer,adult,99,100,96,100,0.35,0.6,0.3,0.07,.84,.74,.86,.96
athlete,adult,99,98,98,99,0.42,0.5,0.21,0.04,.81,.78,.90,.98
electrician,adult,98,99,99,98,0.3,0.44,0.3,0.06,.86,.80,.86,.97
factory_worker,adult,98,98,98,100,0.2,0.32,0.2,0.07,.90,.85,.90,.97
detective,male,100,98,97,100,17.62,10.98,5.71,4.54,.00,.00,.06,.10
railway_conductor,adult,97,98,100,100,0.27,0.24,0.39,0.07,.87,.89,.82,.97
supervisor,adult,95,100,100,100,0.07,0.55,0.39,0.07,.97,.76,.82,.97
janitor,adult,100,94,100,100,0.53,0.45,0.42,0.07,.77,.80,.81,.96
seamstress,female,100,97,100,98,238.88,317.99,487.34,470.32,.00,.00,.00,.00
chef,adult,99,97,99,99,0.35,0.31,0.27,0.04,.84,.86,.87,.98
receptionist,adult,98,99,97,100,0.27,0.43,0.12,0.06,.87,.81,.94,.97
laborer,adult,99,99,96,100,0.35,0.43,0.07,0.06,.84,.81,.96,.97
sheriff,male,96,98,99,100,13.64,11.65,7.2,4.54,.00,.00,.03,.10
tailor,calm,100,98,96,99,13.62,8.2,5.14,2.78,.00,.02,.08,.25
hairdresser,adult,98,99,97,100,0.59,0.47,0.09,0.07,.74,.79,.95,.97
physicist,adult,99,97,98,100,0.38,0.51,0.16,0.07,.83,.77,.93,.97
film_director,adult,99,97,99,98,0.39,0.22,0.3,0.06,.82,.89,.86,.97
secretary,adult,99,95,99,100,0.42,0.52,0.33,0.07,.81,.77,.85,.97
data_scientist,adult,99,96,99,100,0.42,0.07,0.27,0.07,.81,.97,.88,.96
musician,adult,95,100,99,100,0.51,0.6,0.23,0.07,.77,.74,.89,.96
laborer,male,99,98,96,100,15.39,10.83,4.7,4.19,.00,.00,.10,.12
electrician,male,98,99,98,98,15.22,12.33,6.72,3.52,.00,.00,.03,.17
film_director,average,100,97,98,98,5.27,4.06,2.4,3.77,.07,.13,.30,.15
bartender,adult,100,97,99,97,0.49,0.36,0.3,0.16,.78,.84,.86,.92
novelist,adult,98,97,98,100,0.28,0.3,0.21,0.07,.87,.86,.90,.97
police_officer,adult,95,100,98,99,0.14,0.55,0.2,0.04,.93,.76,.90,.98
police_officer,male,95,100,99,99,12.23,13.05,7.21,4.15,.00,.00,.03,.13
mechanic,adult,99,99,95,100,0.39,0.47,0.26,0.07,.82,.79,.88,.97
software_engineer,male,98,97,99,99,16.44,11.26,7.8,4.15,.00,.00,.02,.13
actor,male,99,96,99,99,18.12,10.72,7.31,4.15,.00,.00,.03,.13
analyst,adult,96,97,100,99,0.12,0.34,0.42,0.04,.94,.84,.81,.98
janitor,average,100,95,99,99,5.68,3.33,2.61,4.87,.06,.19,.27,.09
soldier,adult,98,99,98,98,0.27,0.44,0.14,0.02,.87,.80,.93,.99
ceo,short,95,98,99,99,18.59,16.53,12.66,11.26,.00,.00,.00,.00
artist,adult,98,99,95,100,0.34,0.44,0.08,0.07,.84,.80,.96,.97
mechanic,male,99,99,94,100,16.76,12.38,4.13,4.54,.00,.00,.13,.10
housekeeper,adult,98,96,99,100,0.24,0.43,0.41,0.07,.89,.81,.81,.96
chef,male,99,96,98,98,15.39,9,6.13,3.46,.00,.01,.05,.18
researcher,adult,96,97,98,100,0.39,0.36,0.25,0.07,.82,.84,.88,.97
plumber,short,95,99,100,98,17.79,17.36,13.35,9.98,.00,.00,.00,.01
chief,adult,93,100,99,99,1.08,0.55,0.3,0.04,.58,.76,.86,.98
hairdresser,calm,96,98,97,100,10.24,7.61,5.48,3.1,.01,.02,.06,.21
carpenter,average,96,97,98,100,3.51,3.95,2.08,4.9,.17,.14,.35,.09
farmer,average,96,95,99,100,3.34,3.32,2.66,4.9,.19,.19,.26,.09
railway_conductor,average,98,95,97,100,4.42,3.26,2.03,4.9,.11,.20,.36,.09
journalist,adult,98,95,98,99,0.31,1.1,0.21,0.04,.86,.58,.90,.98
machinist,adult,99,97,95,99,0.39,0.87,0.11,0.04,.82,.65,.95,.98
baker,warm,100,95,97,99,48.38,163.2,42.16,41.41,.00,.00,.00,.00
accountant,adult,99,94,98,100,0.39,0.1,0.14,0.07,.82,.95,.93,.97
game_developer,adult,99,93,99,100,0.35,0.82,0.33,0.07,.84,.66,.85,.96
scientist,calm,97,96,98,98,10.83,6.75,6.39,2.51,.00,.03,.04,.29
judge,adult,96,97,98,100,0.69,0.31,0.12,0.06,.71,.86,.94,.97
clerk,adult,95,95,100,100,0.13,0.52,0.39,0.07,.94,.77,.82,.97
janitor,male,99,94,99,98,18.12,9.58,7.31,3.76,.00,.01,.03,.15
customer_service_representative,realistic,100,100,90,100,2.68,1.45,0.79,2.58,1.00,1.00,1.00,1.00
social_worker,realistic,97,99,96,98,11.07,8.2,15.22,10.07,.00,.02,.00,.01
writer,adult,100,94,96,100,0.53,0.47,0.13,0.07,.77,.79,.94,.96
film_director,male,99,96,95,98,16.76,9.79,4.93,3.81,.00,.01,.09,.15
entrepreneur,male,92,98,99,100,9.93,11.66,7.21,4.54,.01,.00,.03,.10
manager,average,97,97,97,99,3.32,3.63,1.7,4.12,.19,.16,.43,.13
seamstress,calm,98,99,98,94,10.52,7.86,5.84,1.67,.01,.02,.05,.43
soldier,male,96,98,95,98,13.59,11.65,4.84,3.8,.00,.00,.09,.15
factory_worker,average,92,99,98,99,2.49,5.18,2.08,4.5,.29,.07,.35,.11
chief,male,92,99,98,99,10.3,12.38,6.72,4.15,.01,.00,.03,.13
architect,calm,96,95,98,99,9.26,5.2,5.84,2.58,.01,.07,.05,.27
waiter,male,97,97,98,95,14.45,10.43,6.72,2.79,.00,.01,.03,.25
waiter,adult,97,97,98,95,0.27,0.3,0.24,0.41,.87,.86,.89,.82
bartender,male,98,95,99,96,15.17,8.85,7.21,2.98,.00,.01,.03,.22
farmer,adult,97,92,99,100,0.19,1.67,0.3,0.07,.91,.43,.86,.97
railway_conductor,short,91,98,100,99,14.2,15.65,13.35,11.26,.00,.00,.00,.00
train_driver,calm,89,99,99,100,6.04,8.61,6.87,3.1,.05,.01,.03,.21
chemist,calm,94,98,97,99,8.01,6.74,4.86,2.58,.02,.03,.09,.27
carpenter,short,98,98,95,95,21.47,16.48,9.42,8.1,.00,.00,.01,.02
athlete,athletic,97,95,96,99,3988.88,4902.86,7496.5,5366.21,.00,.00,.00,.00
comedian,average,98,95,98,97,4.09,3.18,2.08,4.17,.13,.20,.35,.12
engineer,short,94,96,98,99,16.6,14.17,11.33,11.26,.00,.00,.00,.00
scientist,average,98,99,97,93,4.11,5.18,1.89,2.12,.13,.08,.39,.35
attendant,adult,98,92,98,100,0.27,0.45,0.21,0.07,.87,.80,.90,.97
stage_manager,adult,92,99,95,100,0.73,0.4,0.27,0.06,.69,.82,.88,.97
secretary,realistic,95,98,96,97,12.81,7.74,17.12,14.11,.00,.02,.00,.00
machinist,male,99,95,92,99,16.76,9.81,3.33,4.15,.00,.01,.19,.13
waitress,shallow,95,92,99,99,21.22,9.97,1.1,2,.00,.01,.58,.37
game_developer,male,97,89,99,100,15.62,7.01,7.8,4.89,.00,.03,.02,.09
dancer,slim,95,95,97,99,926.12,945.41,1486.61,664.27,.00,.00,.00,.00
designer,calm,95,98,95,98,9.86,7.61,4.44,2.23,.01,.02,.11,.33
poet,male,98,94,97,96,15.89,9.7,5.89,3.48,.00,.01,.05,.18
cleaner,calm,94,95,96,100,9.5,6.24,5.54,3.34,.01,.04,.06,.19
photographer,adult,95,95,94,100,0.14,0.14,0.23,0.07,.93,.93,.89,.97
mechanic,short,95,98,93,99,17.53,15.65,7.52,11.26,.00,.00,.02,.00
railway_conductor,calm,96,98,93,97,10.48,8.02,4.39,2.07,.01,.02,.11,.35
biologist,adult,99,92,98,95,0.39,3.48,0.2,0.53,.82,.18,.90,.77
chef,short,96,93,98,98,17.58,10.74,10.18,9.03,.00,.00,.01,.01
laborer,average,92,96,98,98,2.78,3.34,2.17,3.79,.25,.19,.34,.15
chemist,adult,96,92,97,100,0.35,0.23,0.07,0.06,.84,.89,.97,.97
counselor,adult,92,98,99,94,0.44,0.25,0.25,0.75,.80,.88,.88,.69
screenwriter,calm,96,97,95,96,10.14,6.94,4.19,2.39,.01,.03,.12,.30
politician,average,96,91,99,98,3.64,1.8,2.66,3.79,.16,.41,.26,.15
bartender,warm,100,92,98,94,48.38,149.19,45.28,32.53,.00,.00,.00,.00
bartender,shallow,95,88,100,100,22.91,7.93,1.41,2.47,.00,.02,.50,.29
bus_driver,calm,88,99,97,100,5.78,8.56,5.57,3.1,.06,.01,.06,.21
stage_manager,average,90,98,96,100,1.07,3.92,1.67,4.52,.59,.14,.43,.10
physician,average,93,95,96,99,2.11,3.6,1.7,4.53,.35,.17,.43,.10
novelist,average,99,91,94,99,4.85,2.01,1.48,4.49,.09,.37,.48,.11
train_driver,adult,90,98,98,98,1.08,0.24,0.21,0.08,.58,.89,.90,.96
writer,calm,92,96,96,99,7.77,6.78,5.06,3.07,.02,.03,.08,.22
software_engineer,short,96,98,91,98,20.35,17.16,6.75,10.95,.00,.00,.03,.00
web_developer,adult,99,88,95,99,0.42,1.29,1.06,0.04,.81,.52,.59,.98
receptionist,female,98,98,91,95,228.22,324.6,385.3,445.43,.00,.00,.00,.00
physicist,average,96,93,97,95,3.39,4.54,1.93,2.78,.18,.10,.38,.25
screenwriter,adult,98,93,93,98,0.27,0.5,2.04,0.08,.87,.78,.36,.96
entrepreneur,short,92,98,94,98,14.8,15.65,8.66,10.61,.00,.00,.01,.00
doctor,average,98,91,97,95,4.46,2.53,1.85,2.67,.11,.28,.40,.26
sheriff,short,88,97,96,100,12.18,14.83,10.14,11.94,.00,.00,.01,.00
researcher,calm,86,97,98,100,7.99,7.09,6.4,3.1,.02,.03,.04,.21
data_scientist,calm,91,96,96,98,7.79,6.82,5.67,2.47,.02,.03,.06,.29
musician,male,89,99,94,100,8.55,13.34,4.49,4.89,.01,.00,.11,.09
detective,short,95,95,94,96,18.66,13.49,8.28,8.71,.00,.00,.02,.01
politician,short,98,90,99,93,22.43,9.12,12.66,6.49,.00,.01,.00,.04
doctor,realistic,94,99,89,98,11.66,8.93,10.45,15.26,.00,.01,.01,.00
housekeeper,female,100,95,86,100,279.64,357.14,404.66,586.48,.00,.00,.00,.00
judge,average,95,92,92,100,3.22,1.92,2.02,4.52,.20,.38,.37,.10
secretary,female,99,94,98,89,254.02,321.12,500.34,454.9,.00,.00,.00,.00
train_driver,male,89,96,97,98,8.78,9.66,5.86,3.48,.01,.01,.05,.18
physician,realistic,99,99,88,93,16.69,8.88,9.38,10.86,.00,.01,.01,.00
cook,adult,97,98,88,97,0.27,0.35,2.05,0.21,.87,.84,.36,.90
pharmacist,realistic,88,100,96,97,9.43,8.75,15.24,12.4,.01,.01,.00,.00
train_driver,average,87,97,98,98,1.86,3.98,2.16,4.12,.40,.14,.34,.13
analyst,calm,87,95,99,99,5.15,6.24,6.92,2.75,.08,.04,.03,.25
waiter,short,94,93,97,95,16.75,11.15,10.52,8.51,.00,.00,.01,.01
detective,average,98,93,92,97,4.04,2.44,0.62,3.51,.13,.30,.73,.17
farmer,warm,93,90,98,98,34.64,141.51,43.89,39.96,.00,.00,.00,.00
physicist,male,88,94,98,100,7.76,8.95,6.2,4.54,.02,.01,.05,.10
farmer,male,97,84,98,100,14.35,9.59,6.73,4.54,.00,.01,.03,.10
cashier,adult,99,83,99,98,0.39,2.56,0.33,0.08,.82,.28,.85,.96
seamstress,shallow,92,88,99,100,16.88,8.98,1.1,2.27,.00,.01,.58,.32
analyst,average,92,94,99,94,2.09,2.86,2.62,2.41,.35,.24,.27,.30
artist,calm,96,97,86,99,10.48,7.34,6.13,2.78,.01,.03,.05,.25
entrepreneur,average,86,98,98,96,0.66,4.38,2.35,3.12,.72,.11,.31,.21
baker,adult,97,86,96,99,0.27,2.83,0.09,0.04,.87,.24,.96,.98
paramedic,male,89,97,93,99,8.1,11.27,4.26,4.11,.02,.00,.12,.13
sculptor,calm,96,93,89,99,10.52,5.58,3.57,2.79,.01,.06,.17,.25
surgeon,average,89,90,98,100,1.4,1.39,2.35,4.9,.50,.50,.31,.09
web_developer,male,99,85,94,99,16.81,4.11,5.67,4.15,.00,.13,.06,.13
plumber,realistic,95,100,92,90,11.89,9.48,13.18,12.99,.00,.01,.00,.00
novelist,calm,97,100,88,92,10.79,9.15,5.4,2.67,.00,.01,.07,.26
mechanic,average,86,99,93,98,1,5.22,0.84,4.12,.61,.07,.66,.13
pilot,calm,85,94,98,100,4.72,5.47,5.32,2.86,.09,.06,.07,.24
software_engineer,average,91,97,96,92,1.83,4.45,1.78,1.8,.40,.11,.41,.41
electrician,short,85,96,98,96,10.66,14.07,11.93,9.08,.00,.00,.00,.01
teacher,realistic,92,99,93,92,10.66,8.88,13.59,9.42,.00,.01,.00,.01
machinist,short,97,92,90,97,20.38,10.86,5.73,9.3,.00,.00,.06,.01
stage_manager,male,85,98,92,100,6.66,10.65,3.25,4.19,.04,.00,.20,.12
janitor,calm,89,93,94,100,6.86,5.01,4.49,3.34,.03,.08,.11,.19
tailor,adult,98,89,89,98,0.45,6.45,0.63,0.04,.80,.04,.73,.98
plumber,average,87,98,92,98,0.44,4.74,0.5,4.13,.80,.09,.78,.13
athlete,male,84,98,97,97,4.26,11.45,5.86,3.06,.12,.00,.05,.22
guard,adult,93,89,93,100,0.47,1.59,0.49,0.07,.79,.45,.78,.96
pilot,average,89,97,94,95,1.28,3.58,1.11,2.82,.53,.17,.57,.24
police_officer,short,89,92,95,99,11.85,10.09,8.85,11.26,.00,.01,.01,.00
playwright,adult,93,98,89,94,0.79,0.37,0.64,0.4,.67,.83,.73,.82
machinist,average,88,95,92,99,2.08,4.42,0.63,4.5,.35,.11,.73,.11
chemist,average,96,88,98,92,3.05,2.17,1.86,1.61,.22,.34,.40,.45
pilot,adult,87,94,93,100,1.58,0.39,0.55,0.06,.45,.82,.76,.97
chef,average,92,93,98,90,2,2.26,2.12,1.57,.37,.32,.35,.46
farmer,calm,81,98,98,97,3.78,7.44,6.35,2.07,.15,.02,.04,.35
paramedic,short,89,97,89,99,12.81,16.33,6.74,11.5,.00,.00,.03,.00
librarian,adult,100,95,98,79,0.49,0.04,0.24,10.85,.78,.98,.89,.00
dentist,realistic,88,99,94,92,7.88,8.88,14.1,10.26,.02,.01,.00,.01
auditor,adult,99,96,98,79,0.35,0.06,0.21,7.87,.84,.97,.90,.02
bartender,short,94,91,95,93,16.6,9.4,8.97,7.4,.00,.01,.01,.02
cashier,realistic,97,95,91,90,14.29,6,11.17,8.36,.00,.05,.00,.02
poet,calm,92,94,90,96,7.58,5.32,6.88,1.69,.02,.07,.03,.43
blacksmith,adult,98,87,92,95,0.2,3.31,1,0.24,.90,.19,.61,.89
supervisor,male,84,95,100,93,4.17,9.31,7.74,1.92,.12,.01,.02,.38
bus_driver,adult,84,97,92,100,5.62,0.36,0.25,0.07,.06,.84,.88,.97
train_driver,short,88,92,94,98,11.87,10.02,8.06,10.02,.00,.01,.02,.01
cook,average,95,97,87,93,2.74,4.1,1.88,2.31,.25,.13,.39,.31
data_scientist,male,86,91,95,100,8.39,6.33,4.91,4.89,.02,.04,.09,.09
chief,average,88,92,93,98,1.29,2.82,2.23,4.09,.53,.24,.33,.13
blacksmith,male,98,85,92,95,15.08,7.17,4.31,2.6,.00,.03,.12,.27
accountant,average,93,82,95,100,2.21,1.29,1.55,4.9,.33,.53,.46,.09
constructor,calm,91,96,92,92,5.58,6.1,2.54,1.38,.06,.05,.28,.50
singer,shallow,94,89,98,90,22.11,7.08,1.02,1.36,.00,.03,.60,.51
biologist,average,98,88,96,88,4.04,6.34,1.72,1.5,.13,.04,.42,.47
poet,average,99,94,94,83,4.85,2.78,2.55,4.58,.09,.25,.28,.10
counselor,average,85,96,95,93,0.45,3.27,1.16,2.31,.80,.19,.56,.32
doctor,male,90,85,94,100,8.18,7.25,4.19,4.54,.02,.03,.12,.10
supervisor,short,83,95,99,92,6.71,12.69,12.61,6.42,.03,.00,.00,.04
baker,shallow,92,83,96,98,17.97,3.61,0.63,1.95,.00,.16,.73,.38
waitress,warm,97,86,95,92,38.58,113.88,35.83,27.81,.00,.00,.00,.00
janitor,realistic,94,94,90,90,12.63,6.49,11.56,12.24,.00,.04,.00,.00
developer,calm,86,89,94,99,5.65,3.12,3.89,3.07,.06,.21,.14,.22
baker,average,93,85,92,99,2.32,2.95,0.52,4.49,.31,.23,.77,.11
pharmacist,average,94,86,96,92,2.3,2.44,1.53,1.5,.32,.30,.46,.47
data_scientist,average,86,94,89,99,0.68,2.86,0.38,4.87,.71,.24,.83,.09
analyst,male,81,93,99,96,3.31,8.65,7.31,2.94,.19,.01,.03,.23
game_developer,short,97,89,89,94,22.27,9.75,5.17,7.42,.00,.01,.08,.02
hairdresser,female,95,89,86,98,225.92,282.39,373.74,513.98,.00,.00,.00,.00
constructor,average,92,88,97,91,1.89,7.27,1.6,1.39,.39,.03,.45,.50
chef,shallow,92,81,95,99,17.6,2.61,0.56,2,.00,.27,.76,.37
stage_manager,short,80,99,92,97,4.95,15.95,6.43,8.4,.08,.00,.04,.01
doctor,short,92,85,89,100,14.94,9.87,6.09,11.94,.00,.01,.05,.00
welder,shallow,88,84,100,95,14.26,6.64,1.41,1.07,.00,.04,.50,.59
surgeon,adult,87,82,98,99,1.34,2.06,0.25,0.04,.51,.36,.88,.98
bus_driver,average,76,97,94,100,8.36,4.01,1.27,4.9,.02,.13,.53,.09
clerk,average,85,94,95,92,0.26,3.5,2.18,1.72,.88,.17,.34,.42
editor,adult,97,86,97,87,0.45,2.7,0.16,4.59,.80,.26,.92,.10
manager,male,86,97,84,99,6.53,9.39,0.7,3.8,.04,.01,.70,.15
constructor,adult,88,89,97,92,0.61,1.25,0.07,0.57,.74,.54,.97,.75
guard,male,91,91,84,100,10.67,7.35,6.51,4.89,.00,.03,.04,.09
web_developer,calm,82,93,91,99,1.96,4.64,2.9,2.79,.37,.10,.23,.25
bus_driver,male,78,96,90,100,11.24,9.79,2.4,4.54,.00,.01,.30,.10
janitor,short,88,88,92,96,12.04,10.03,7.48,9.71,.00,.01,.02,.01
manager,short,87,97,82,99,10.25,13.62,2.02,10.33,.01,.00,.36,.01
physicist,calm,95,87,92,91,8.9,4.39,3.72,1.51,.01,.11,.16,.47
flight_attendant,realistic,90,93,82,99,8.7,5.46,4.6,16.05,.01,.07,.10,.00
developer,adult,92,85,87,100,6.07,7.95,1.71,0.07,.05,.02,.43,.96
pilot,male,86,91,87,100,6.55,6.36,3.58,4.19,.04,.04,.17,.12
librarian,calm,85,95,85,98,4.53,6.61,1.46,2.35,.10,.04,.48,.31
journalist,average,84,91,95,93,2.1,3.38,1.43,2.32,.35,.18,.49,.31
laborer,short,92,80,92,99,13.57,6.43,6.2,10.33,.00,.04,.05,.01
mechanic,calm,88,97,86,91,4.86,7.34,3.85,1.01,.09,.03,.15,.60
social_worker,shallow,81,87,98,97,9.05,5,0.89,1.16,.01,.08,.64,.56
surgeon,realistic,98,95,78,91,15.1,6.37,3.46,8.76,.00,.04,.18,.01
screenwriter,average,91,86,89,95,2.05,1.68,2.21,2.65,.36,.43,.33,.27
athlete,shallow,85,84,95,97,15.94,4.49,0.57,1.65,.00,.11,.75,.44
cashier,shallow,84,88,98,92,9.78,7.71,0.91,0.59,.01,.02,.63,.74
scientist,male,83,82,96,100,5.32,2.89,5.25,4.54,.07,.24,.07,.10
flight_attendant,shallow,78,86,100,96,6.51,5.96,1.41,1.25,.04,.05,.50,.54
bus_driver,short,78,96,87,100,10.48,14.2,4.29,11.94,.01,.00,.12,.00
factory_worker,male,68,96,97,99,2.34,9.64,5.74,4.15,.31,.01,.06,.13
taxi_driver,adult,79,91,91,100,9.39,1.44,1.41,0.07,.01,.49,.49,.96
marketing_specialist,realistic,82,99,90,89,5.19,7.46,9,5.97,.07,.02,.01,.05
screenwriter,male,85,85,91,100,5.84,10.66,6.49,4.54,.05,.00,.04,.10
analyst,short,81,89,95,96,6.7,9.75,9.77,9.21,.04,.01,.01,.01
cleaner,adult,96,81,84,100,0.34,8.96,6.74,0.07,.85,.01,.03,.96
judge,male,91,76,93,100,8.73,3.94,4.45,4.19,.01,.14,.11,.12
paramedic,realistic,95,94,87,83,13.41,7.68,9.08,8.75,.00,.02,.01,.01
playwright,average,90,92,85,92,1.67,2.62,0.54,1.45,.43,.27,.76,.48
researcher,average,93,90,92,84,2.41,1.67,0.61,5.68,.30,.43,.74,.06
physician,male,84,83,92,100,3.95,7.86,3.58,4.54,.14,.02,.17,.10
supervisor,average,83,92,94,91,0.36,2.61,1.59,2.23,.84,.27,.45,.33
poet,shallow,82,82,97,99,8.46,6.09,0.68,2.19,.01,.05,.71,.33
screenwriter,shallow,88,78,95,99,14.54,2.93,0.59,2.19,.00,.23,.74,.33
optician,calm,76,95,95,93,1.03,5.53,4.58,1.67,.60,.06,.10,.43
social_worker,average,90,91,90,88,0.92,1.69,2.02,0.97,.63,.43,.36,.62
game_developer,average,91,91,90,86,1.63,3.44,0.41,1.5,.44,.18,.81,.47
physician,short,85,82,91,100,8.62,9.58,6,11.94,.01,.01,.05,.00
optician,adult,78,91,94,95,9.81,0.58,0.41,0.41,.01,.75,.82,.82
lawyer,average,89,80,93,95,2.5,0.2,1.45,2.89,.29,.91,.49,.24
electrician,average,86,92,90,90,1.27,2.61,1.58,2.76,.53,.27,.45,.25
constructor,male,85,85,96,91,4.92,4.37,4.76,1.24,.09,.11,.09,.54
web_developer,average,92,84,87,95,2.43,1.76,1.88,2.5,.30,.41,.39,.29
web_developer,short,95,84,83,95,17.5,7.07,9.5,8.22,.00,.03,.01,.02
playwright,male,83,93,87,94,7.08,8.53,1.37,2.07,.03,.01,.50,.36
machinist,shallow,72,85,100,99,4.21,8.99,1.41,2.19,.12,.01,.50,.33
comedian,shallow,83,87,98,88,9.86,8.26,1.04,0.18,.01,.02,.59,.92
accountant,male,89,78,88,100,7.53,3.57,2.9,4.54,.02,.17,.23,.10
accountant,realistic,87,92,93,85,5.94,4.7,13.7,7.65,.05,.10,.00,.02
pilot,short,80,97,79,100,7.51,13.42,5.96,11.01,.02,.00,.05,.00
pharmacist,shallow,82,75,100,98,9.05,6.92,1.3,1.77,.01,.03,.52,.41
developer,male,92,81,84,100,17.37,20.27,2.4,4.89,.00,.00,.30,.09
taxi_driver,short,72,90,94,100,8.12,10.57,9.7,12.87,.02,.01,.01,.00
editor,calm,88,87,82,99,4.36,2.06,2.41,2.58,.11,.36,.30,.27
customer_service_representative,female,100,85,80,90,39.45,37.26,22.9,63.58,1.00,1.00,1.00,1.00
taxi_driver,average,78,87,91,99,7.77,3.71,2.01,4.87,.02,.16,.37,.09
writer,shallow,72,86,98,99,3.99,5.6,0.99,2.38,.14,.06,.61,.30
cook,male,82,96,82,95,3.65,10.05,4.54,2.85,.16,.01,.10,.24
plumber,calm,82,95,83,95,2.69,5.48,0.62,2.13,.26,.06,.73,.35
game_developer,shallow,81,80,96,97,8.54,2.05,0.72,1.78,.01,.36,.70,.41
novelist,male,85,81,88,100,7.69,4.32,8.86,4.54,.02,.12,.01,.10
biologist,calm,85,97,94,78,5.65,7.09,4.08,11.86,.06,.03,.13,.00
taxi_driver,male,79,89,86,100,10.67,6.74,3.59,4.89,.00,.03,.17,.09
clerk,realistic,91,93,90,79,9.44,5.24,10.56,10.39,.01,.07,.01,.01
soldier,shallow,87,72,99,95,13.54,2.81,1.2,1.07,.00,.25,.55,.59
mover,adult,95,91,68,100,0.55,0.94,14.26,0.07,.76,.63,.00,.97
carpenter,calm,85,90,90,88,3.11,4.16,2.39,0.8,.21,.12,.30,.67
lawyer,male,95,84,96,78,12.58,7.66,6.02,1.33,.00,.02,.05,.51
